entrez_hs,symbol_hs
147015,DHRS13
9572,NR1D1
7056,THBD
911,CD1C
9975,NR1D2
23475,QPRT
10462,CLEC10A
4753,NELL2
9725,TMEM63A
9987,HNRNPDL
952,CD38
9047,SH2D2A
284013,VMO1
8241,RBM10
5187,PER1
7106,TSPAN4
9308,CD83
128553,TSHZ2
360,AQP3
1374,CPT1A
23500,DAAM2
8655,DYNLL1
948,CD36
51540,SCLY
8863,PER3
54331,GNG2
60675,PROK2
2288,FKBP4
23022,PALLD
10598,AHSA1
10435,CDC42EP2
64757,MARC1
6920,TCEA3
3097,HIVEP2
11326,VSIG4
4897,NRCAM
51348,KLRF1
8864,PER2
51733,UPB1
51738,GHRL
54541,DDIT4
3002,GZMB
